,accuracy,clf_name,n_split,std,vocab_size
0,0.8113725490196078,freq_table_HC,10.0,0.06514456168955282,250.0
1,0.8828235294117647,freq_table_HC,10.0,0.046129650298676654,1000.0
2,0.9147058823529413,freq_table_HC,10.0,0.019860528688061624,3000.0
3,0.7794117647058822,freq_table_chisq,10.0,0.06748112641431922,250.0
4,0.8550980392156863,freq_table_chisq,10.0,0.049151587037104434,1000.0
5,0.8549803921568628,freq_table_chisq,10.0,0.03723995572220064,3000.0
6,0.6034117647058824,freq_table_cosine,10.0,0.05260957880103635,250.0
7,0.6204313725490197,freq_table_cosine,10.0,0.07358527551087084,1000.0
8,0.6133333333333333,freq_table_cosine,10.0,0.0545078289951165,3000.0
9,0.773921568627451,freq_table_LL,10.0,0.0440398442502242,250.0
10,0.8531372549019608,freq_table_LL,10.0,0.031013757163720523,1000.0
11,0.8869803921568626,freq_table_LL,10.0,0.027976922439003453,3000.0
12,0.773764705882353,freq_table_CR,10.0,0.038220087473803496,250.0
13,0.8530980392156863,freq_table_CR,10.0,0.03501510631323107,1000.0
14,0.8907450980392158,freq_table_CR,10.0,0.05033565154266436,3000.0
15,0.7242352941176471,KNN_5,10.0,0.06957967947226606,250.0
16,0.720156862745098,KNN_5,10.0,0.059438924743824534,1000.0
17,0.7418039215686274,KNN_5,10.0,0.05206898095213032,3000.0
